id,created_at,text,,
8.62423E+17,5/10/17 21:45,b'RT @immigrant4trump: When Liberals Say The Darndest Things #ComeyFiring #Maga https://t.co/hvNWHrVQqb',"[{'text': 'ComeyFiring', 'indices': [59, 71]}, {'text': 'Maga', 'indices': [72, 77]}]","[{'screen_name': 'immigrant4trump', 'name': 'Immigrantsâ˜†4â˜†Trump', 'id': 3677742792, 'id_str': '3677742792', 'indices': [3, 19]}]"
8.62423E+17,5/10/17 21:45,"b""RT @paulbenedict7: When the GOP defies Leftists' demand for a special prosecutor will Libs  try obstructing EVERYTHING #Trump does? Oh, yea\xe2\x80\xa6""","[{'text': 'Trump', 'indices': [119, 125]}]","[{'screen_name': 'paulbenedict7', 'name': 'Paul Benedict', 'id': 46303458, 'id_str': '46303458', 'indices': [3, 17]}]"
8.62423E+17,5/10/17 21:45,b'RT @Corrynmb: Now that Comey is gone--Next up on the agenda - #LockHerUp #ComeyFiring #MAGA https://t.co/eByIV7LPks',"[{'text': 'LockHerUp', 'indices': [62, 72]}, {'text': 'ComeyFiring', 'indices': [73, 85]}, {'text': 'MAGA', 'indices': [86, 91]}]","[{'screen_name': 'Corrynmb', 'name': 'Corryn Mobley_Ÿ‡º_Ÿ‡¸', 'id': 24233697, 'id_str': '24233697', 'indices': [3, 12]}]"
8.62423E+17,5/10/17 21:45,b'RT @CormacBrock: @SphallSteve1245 @TEN_GOP @realDonaldTrump That makes no sense. Every agency said there was NOTHING. Go get a coloring boo\xe2\x80\xa6',[],"[{'screen_name': 'CormacBrock', 'name': 'Cormac Brock', 'id': 827702081876324352, 'id_str': '827702081876324352', 'indices': [3, 15]}, {'screen_name': 'SphallSteve1245', 'name': 'ResistTrump', 'id': 3950816657, 'id_str': '3950816657', 'indices': [17, 33]}, {'screen_name': 'TEN_GOP', 'name': 'Tennessee', 'id': 4224729994, 'id_str': '4224729994', 'indices': [34, 42]}, {'screen_name': 'realDonaldTrump', 'name': 'Donald J. Trump', 'id': 25073877, 'id_str': '25073877', 'indices': [43, 59]}]"
8.62423E+17,5/10/17 21:45,"b""RT @bfraser747: #PresidentTrump that's who.#Obama has done illegal wiretapping with his #DeepState. #Hillary. Well we don't need go over he\xe2\x80\xa6""","[{'text': 'PresidentTrump', 'indices': [16, 31]}, {'text': 'Obama', 'indices': [43, 49]}, {'text': 'DeepState', 'indices': [88, 98]}, {'text': 'Hillary', 'indices': [100, 108]}]","[{'screen_name': 'bfraser747', 'name': 'BRIAN FRASER', 'id': 274891222, 'id_str': '274891222', 'indices': [3, 14]}]"
8.62423E+17,5/10/17 21:45,b'@PurpleBunz @LadyAodh He accomplished half his campaign promises while Obama did none of them. 8 more years of #MAGA',"[{'text': 'MAGA', 'indices': [111, 116]}]","[{'screen_name': 'PurpleBunz', 'name': 'Luke Gold', 'id': 2764870716, 'id_str': '2764870716', 'indices': [0, 11]}, {'screen_name': 'LadyAodh', 'name': 'Ann Kelly', 'id': 3089155533, 'id_str': '3089155533', 'indices': [12, 21]}]"
8.62423E+17,5/10/17 21:45,"b""RT @buzzcutbarbie: @CCOT_MAGA @LindaLovelacee @kaybetooshort BeCaUse ShE'S wHiTe? REpUbLiCan? BoTh? https://t.co/pUy8PYFd1i""",[],"[{'screen_name': 'buzzcutbarbie', 'name': 'name cannot be blank', 'id': 4831230831, 'id_str': '4831230831', 'indices': [3, 17]}, {'screen_name': 'CCOT_MAGA', 'name': 'Conservative _Ÿ‡º_Ÿ‡¸', 'id': 506869952, 'id_str': '506869952', 'indices': [19, 29]}, {'screen_name': 'LindaLovelacee', 'name': 'comet', 'id': 433055692, 'id_str': '433055692', 'indices': [30, 45]}, {'screen_name': 'kaybetooshort', 'name': 'Issa Midget_ŸŒ™', 'id': 770084318060380161, 'id_str': '770084318060380161', 'indices': [46, 60]}]"
8.62423E+17,5/10/17 21:45,"b""RT @jojoh888: .@POTUS you started to #DrainTheSwamp don't stop the momentum #LockHerUp #FireRyan #COMEY #MAGA https://t.co/hB0rgl48X0""","[{'text': 'DrainTheSwamp', 'indices': [37, 51]}, {'text': 'LockHerUp', 'indices': [76, 86]}, {'text': 'FireRyan', 'indices': [87, 96]}, {'text': 'COMEY', 'indices': [97, 103]}, {'text': 'MAGA', 'indices': [104, 109]}]","[{'screen_name': 'jojoh888', 'name': '_Ÿ‡º_Ÿ‡¸Jojoh888_Ÿ‡º_Ÿ‡¸_ŸŒ_', 'id': 2369640619, 'id_str': '2369640619', 'indices': [3, 12]}, {'screen_name': 'POTUS', 'name': 'President Trump', 'id': 822215679726100480, 'id_str': '822215679726100480', 'indices': [15, 21]}]"
8.62423E+17,5/10/17 21:45,"b'RT @uncoverarry: ""non vi assicuro le foto di coppia""\n""non so se ci sar\xc3\xa0 anche Mario""\n""ragazzi, domani solo gioie""\nAH OK #clario'","[{'text': 'clario', 'indices': [120, 127]}]","[{'screen_name': 'uncoverarry', 'name': 'anna', 'id': 1944217837, 'id_str': '1944217837', 'indices': [3, 15]}]"
8.62423E+17,5/10/17 21:45,b'RT @LATiffani1: Obama promoted the corrupt &amp; was feckless on terrorists.\nTrump leadership: Fires the corrupt &amp; missiles at terrorists.\nBig\xe2\x80\xa6',[],"[{'screen_name': 'LATiffani1', 'name': 'LATiffani', 'id': 583456963, 'id_str': '583456963', 'indices': [3, 14]}]"
